,timestamp,open,high,low,close,volume
0,2019-12-13,0.33,0.48,0.3213,0.43,2966456
1,2019-12-12,0.33,0.3453,0.3113,0.3332,969304
2,2019-12-11,0.32,0.34,0.3135,0.3189,913923
3,2019-12-10,0.3075,0.34,0.301,0.3226,3769566
4,2019-12-09,0.31,0.35,0.29,0.2927,849266
5,2019-12-06,0.346,0.35,0.32,0.32,297043
6,2019-12-05,0.346,0.35,0.346,0.346,68049
7,2019-12-04,0.35,0.35,0.345,0.345,130209
8,2019-12-03,0.35,0.36,0.345,0.36,174774
9,2019-12-02,0.34,0.36,0.34,0.35,230612
10,2019-11-29,0.36,0.36,0.3402,0.3455,176636
11,2019-11-27,0.33,0.36,0.31,0.344,503315
12,2019-11-26,0.38,0.38,0.34,0.3492,156739
13,2019-11-25,0.3781,0.38,0.36,0.3799,114512
14,2019-11-22,0.3799,0.39,0.3515,0.377,271086
15,2019-11-21,0.4,0.4,0.37,0.3799,143899
16,2019-11-20,0.35,0.39,0.3401,0.37,426012
17,2019-11-19,0.31,0.3499,0.31,0.3373,854119
18,2019-11-18,0.2915,0.3236,0.2913,0.3196,505764
19,2019-11-15,0.29,0.3,0.29,0.2913,236388
20,2019-11-14,0.2919,0.3,0.2919,0.2985,199190
21,2019-11-13,0.2918,0.3,0.2918,0.3,40677
22,2019-11-12,0.3,0.318,0.2917,0.2999,427802
23,2019-11-11,0.3,0.3032,0.29,0.2959,218816
24,2019-11-08,0.32,0.32,0.3043,0.3115,214980
25,2019-11-07,0.32,0.3232,0.3126,0.3126,172732
26,2019-11-06,0.33,0.33,0.31,0.3179,205334
27,2019-11-05,0.319,0.33,0.3111,0.3278,180750
28,2019-11-04,0.33,0.3395,0.307,0.307,272368
29,2019-11-01,0.33,0.34,0.3101,0.3101,92006
30,2019-10-31,0.335,0.34,0.3201,0.325,300632
31,2019-10-30,0.3133,0.34,0.31,0.32,284529
32,2019-10-29,0.3098,0.32,0.3,0.31,184484
33,2019-10-28,0.2985,0.31,0.297,0.298,257379
34,2019-10-25,0.2999,0.32,0.29,0.2985,165477
35,2019-10-24,0.31,0.31,0.29,0.309,118419
36,2019-10-23,0.31,0.33,0.303,0.305,115645
37,2019-10-22,0.32,0.33,0.3,0.31,153345
38,2019-10-21,0.33,0.3369,0.301,0.316,184222
39,2019-10-18,0.3382,0.3382,0.315,0.32,140255
40,2019-10-17,0.31,0.3499,0.31,0.3221,201968
41,2019-10-16,0.35,0.35,0.3101,0.3197,93652
42,2019-10-15,0.3,0.39,0.3,0.3344,481349
43,2019-10-14,0.3,0.31,0.28,0.31,213918
44,2019-10-11,0.3251,0.331,0.281,0.2899,551694
45,2019-10-10,0.38,0.38,0.3038,0.3038,766886
46,2019-10-09,0.38,0.3845,0.369,0.369,58691
47,2019-10-08,0.37,0.38,0.37,0.3799,32211
48,2019-10-07,0.38,0.3899,0.3666,0.3666,122005
49,2019-10-04,0.39,0.39,0.377,0.379,202675
50,2019-10-03,0.3745,0.3975,0.36,0.39,155063
51,2019-10-02,0.37,0.39,0.35,0.369,317498
52,2019-10-01,0.3652,0.4077,0.36,0.36,122948
53,2019-09-30,0.38,0.388,0.3495,0.3581,282796
54,2019-09-27,0.38,0.4091,0.37,0.37,288017
55,2019-09-26,0.39,0.4199,0.3801,0.3951,86682
56,2019-09-25,0.4111,0.4229,0.3711,0.3711,69042
57,2019-09-24,0.42,0.42,0.4005,0.4056,83567
58,2019-09-23,0.415,0.44,0.402,0.4199,122470
59,2019-09-20,0.4093,0.4436,0.392,0.415,323960
60,2019-09-19,0.405,0.4299,0.4,0.4167,72322
61,2019-09-18,0.42,0.47,0.4,0.406,351919
